ID ,TICKER,CUSIP   ,NAME                             ,HBTA,BETA,SRISK%,TRISK%,VOLTILTY,MOMENTUM,SIZE    ,SIZENONL,TRADEACT,GROWTH  ,EARNYLD ,VALUE   ,EARNVAR ,LEVERAGE,CURRSEN ,YIELD   ,NONESTU ,INDNAME1,IND1,WGT1%,INDNAME2,IND2,WGT2%,INDNAME3,IND3,WGT3%,INDNAME4,IND4,WGT4%,INDNAME5,IND5,WGT5%,PRICE   ,CAPITALIZATION  ,YLD%  ,SAP500,SAPVAL,SAPGRO,MIDCAP,MIDVAL,MIDGRO,SC600 ,SCVAL ,SCGRO ,E3ESTU,INTRA_MONTH_ADDITION
USAU4X1,NCLI  ,65865410,NORTH COAST LIFE INS CO          , 0.376, 0.978,  22.945,  33.219,-0.006,-0.408,-5.020,-5.066,-2.696,-0.055,-1.501, 3.321, 2.122, 1.256, 0.309,-0.786, 1.000,LIFEINS ,  47, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     7.330,       4485960.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU4Z1,NCXS  ,63339810,NATIONAL BANK COXSACKIE N Y      , 0.142, 0.396,  16.885,  24.974,-0.915,-0.977,-5.020,-5.066,-2.467, 0.177,-1.613, 1.387, 1.914, 1.136, 0.018,-0.300, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    74.000,      30192000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU521,NDBKY ,63975K10,NEDBANK GROUP LTD                , 1.328, 1.003,  17.295,  26.879, 0.476,-1.306,-1.037,-0.004,-2.316,-0.400, 0.397, 0.573,-0.171,-0.214, 0.043, 1.185, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    18.490,    9435483980.000,   4.620,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU551,NDVLY ,64927430,NEW WORLD DEV LTD                , 1.818, 1.779,  25.699,  40.459, 2.114,-0.439,-1.025, 0.000,-2.488,-0.652,-0.491,-0.072, 0.254, 0.794, 0.759,-0.660, 1.000,CONSTRUC,  19, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     2.770,    8741567385.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU561,CSBF  ,20875720,CONSOLIDATED BIOFUELS INC        , 1.428, 2.284,  60.316,  74.330, 4.266,-2.263,-5.020,-5.066,-3.355, 0.317,-3.553, 1.913, 4.222, 3.611, 2.346,-0.920, 1.000,MINING  ,   1, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.003,         61806.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU591,NEFB  ,64009810,NEFFS BANCORP INC PA             , 0.012, 0.446,  20.595,  27.540,-0.650,-0.755,-4.998,-5.066,-2.412, 0.355,-1.057, 1.346, 0.437, 1.028, 0.258,-0.265, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,   272.500,      48505000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5F1,NEUN  ,64124F30,NEUROGENESIS INC                 , 2.733, 1.224,  49.939,  56.738, 2.335,-1.984,-5.020,-5.066,-2.850, 1.135,-3.514, 0.363, 3.316, 2.237,-0.939,-1.214, 1.000,DRUGS   ,  37, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.020,       1417840.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5H1,BTCA  ,05644L20,BACTOLAC PHARMACEUTICAL INC      , 0.035, 0.173,  21.357,  29.295,-0.553, 4.085,-2.715,-1.798,-2.052, 0.833,-1.299,-0.271, 1.314, 0.573,-0.527,-0.678, 1.000,DRUGS   ,  37, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,100000.000,    1000000000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5P1,PPDC  ,74072A10,PREPAYD INC                      , 2.834, 2.001,  48.648,  61.617, 5.000,-1.843,-5.020,-5.066,-2.597,-0.203,-2.753,-1.512, 1.781, 2.229,-1.704,-1.293, 1.000,MEDPROVR,  35, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.010,       5751540.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5Q1,CHAG  ,15883D10,CHANCELLOR GROUP INC             ,-0.611, 1.334,  48.803,  58.319, 2.820, 5.000,-5.020,-5.066,-2.870, 0.000,-1.045,-0.213, 3.023, 0.724,-0.361,-1.050, 1.000,SECASSET,  51, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.072,       5152320.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5T1,NHTC  ,63888P40,NATURAL HEALTH TRENDS CORP       , 0.920, 1.530,  45.641,  54.525, 4.027,-0.248,-5.020,-5.066,-2.576,-1.938, 0.235,-0.697, 2.536, 0.752,-1.396,-1.050, 1.000,DRUGS   ,  37, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     1.560,      17677920.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU5U1,VPCO  ,92209910,VAPOR CORP NEV                   , 1.385, 1.585,  59.629,  69.678, 5.000, 5.000,-5.020,-5.066,-1.422, 2.566, 0.602,-1.179, 1.418, 2.411, 4.422,-1.050, 1.000,FOODBEV ,   8, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     1.060,      63994320.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU641,CONC  ,20682730,CONECTISYS CORP                  , 5.000, 2.126,  56.757,  69.489, 4.761, 0.000,-5.020,-5.066,-3.097, 0.835,-3.594, 1.106, 3.604, 2.965,-1.451,-1.507, 1.000,ELECEQP ,  38, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.002,         17293.500,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU651,NKSH  ,63486510,NATIONAL BANKSHARES INC VA       , 0.547, 0.510,  13.758,  22.127,-0.092, 0.205,-3.715,-4.763,-2.130,-0.744, 0.233, 0.505, 0.233, 0.083,-0.187, 0.535, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    36.530,     253810440.000,   3.276,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU661,JFGI  ,46981P10,JACOBS FINL GROUP INC            , 3.524, 1.176,  43.689,  50.907, 1.918, 1.992,-5.020,-5.066,-2.999, 0.249,-0.306,-3.981, 2.629, 5.001, 2.272,-1.050, 1.000,SECASSET,  51,  53,PRPTYINS,  48,  47,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.010,       3154835.600,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU6C1,NPKLY ,62989820,NAMPAK LTD                       , 0.618, 1.343,  23.094,  33.011, 1.242,-0.350,-2.110,-0.789,-2.737,-0.110,-0.308,-0.168, 0.424, 0.532, 0.564, 0.022, 1.000,CHEMICAL,   4, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     3.070,    2142181530.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU6D1,NNBR  ,62933710,NN INC                           , 3.278, 1.701,  33.103,  45.370, 2.831, 0.451,-3.891,-5.066,-1.720,-1.758, 0.475, 0.639, 1.001, 0.834,-0.949,-0.621, 1.000,INDPART ,  29,  90,CHEMICAL,   4,  10,        ,   0,   0,        ,   0,   0,        ,   0,   0,    13.810,     238526320.000,   0.887,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU6H1,NNUP  ,65521220,NOCOPI TECHNOLOGIES INC          , 0.795, 1.649,  48.892,  58.579, 2.552,-2.676,-5.020,-5.066,-3.060,-2.319,-0.996,-1.816, 2.578, 2.858,-1.188,-0.916, 1.000,FOREST  ,   3, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.025,       1464975.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU6Q1,NOVB  ,66304M20,NORTH VALLEY BANCORP             , 0.757, 0.697,  20.663,  28.779, 0.359,-0.211,-4.321,-5.066,-2.247,-0.547,-1.048, 1.218, 2.152, 0.428,-1.880,-1.050, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    18.490,     126379150.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU6T1,NPSP  ,62936P10,NPS PHARMACEUTICALS INC          , 0.668, 1.322,  34.681,  43.478, 1.938, 2.305,-2.269,-1.007,-0.072, 0.618,-1.789,-1.237, 1.163, 3.565,-1.554,-1.050, 0.000,BIOTECH ,  55, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    25.100,    2545867900.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     0
USAU721,NSIT  ,45765U10,INSIGHT ENTERPRISES INC          , 2.660, 1.291,  28.911,  36.649, 1.553, 0.118,-2.769,-1.913,-1.610, 0.089, 0.627, 1.069, 1.675, 0.245,-0.446,-1.050, 0.000,SPLTYRET,  17, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    19.110,     831667200.000,   0.000,     0,     0,     0,     0,     0,     0,     1,     1,     0,     1,     0
USAU741,NTAH  ,64190220,NEVTAH CAP MGMT CORP             ,-0.425, 1.715,  58.855,  68.741, 1.961,-3.598,-5.020,-5.066,-3.002, 0.494,-2.993, 1.249, 2.947, 2.461,-1.354,-0.294, 1.000,SECASSET,  51, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.006,        703440.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU771,SYVC  ,87163M10,SYNOVICS PHARMACEUTICALS INC     , 2.789, 1.592,  66.903,  74.044, 4.080,-0.314,-5.020,-5.066,-3.573, 1.140,-2.984, 0.373, 3.349, 2.264, 1.275,-1.223, 1.000,DRUGS   ,  37, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.020,        596540.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7F1,NUBK  ,49455510,KINDERHOOK BK CORP               , 0.428, 0.533,  20.925,  28.343,-0.335,-0.744,-5.020,-5.066,-2.815, 0.194,-1.746, 1.422, 2.027, 1.230,-0.085,-0.330, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    27.000,      19791000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7I1,NUBC  ,66705610,NORTHUMBERLAND BANCORP           , 0.367, 0.716,  23.239,  30.787, 0.469,-0.179,-5.020,-5.066,-2.418, 0.159,-1.473, 1.350, 1.797, 1.039,-0.010,-0.269, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    34.100,      47092100.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7L1,DSEN  ,23811120,DATASCENSION INC                 ,-1.014, 0.695,  32.394,  39.425,-0.036,-1.843,-5.020,-5.066,-3.522, 0.437,-4.603, 0.535, 3.261, 3.515, 5.002,-1.108, 1.000,HOMEPROD,  11, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.002,         42814.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7N1,NVCP  ,62943710,NVCN CORP                        , 1.216, 2.157,  53.732,  68.589, 5.000,-3.854,-5.020,-5.066,-2.937, 3.276,-1.197,-3.882, 2.233, 1.788, 1.542,-1.379, 1.000,MEDPRODS,  36, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.020,        290960.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7O1,GRPI  ,40051Y10,GRUPO INTL INC NEW               , 2.876, 2.131,  64.699,  77.228, 4.328,-3.854,-5.020,-5.066,-3.211, 1.028,-3.049, 0.830, 3.129, 4.742, 2.735,-1.332, 1.000,FINSVCS ,  52, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.010,        104310.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU7T1,NCMGY ,65119110,NEWCREST MNG LTD                 , 1.092, 1.972,  34.892,  50.380, 2.164,-3.405,-1.097,-0.023,-2.184,-0.172,-0.945, 0.886, 0.978, 0.914, 0.726,-0.052, 1.000,MINING  ,   1, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    11.700,    8968178700.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
